dataset,resource,column,field
article-4-direction,,NAME,name
article-4-direction,,LOCATION_1,name
article-4-direction,,WKT,geometry
article-4-direction,,START_DATE,start-date
article-4-direction,,CODE,reference
article-4-direction,,DESCRIPTIO,description
article-4-direction,,COMMENT,notes
article-4-direction,,Designatio,notes
article-4-direction,,geography,reference
article-4-direction,7fb3fd9a1f73608c71659df88e4c26f64e5ce883e5e1456b88dd14194cd1d677,OBJECTID,reference
article-4-direction,5a63cf05c7ec1a74184180e1b42a71a7d6ea9071419b2f85f72fb59c2d8a07a0,OBJECTID,reference
article-4-direction,a54c9011cab0df132ca796a66c55e05d1f59357e69aef6ac88034f6aa2a69c85,fid,reference
article-4-direction,18202c0b321a31029358d3fe65d17fd00bdd1e07b2bbfe20c612247639346f9b,OBJECTID,reference
article-4-direction,18202c0b321a31029358d3fe65d17fd00bdd1e07b2bbfe20c612247639346f9b,DATE_CONF,start-date
article-4-direction,18202c0b321a31029358d3fe65d17fd00bdd1e07b2bbfe20c612247639346f9b,DEV_TYPE,name
article-4-direction,18202c0b321a31029358d3fe65d17fd00bdd1e07b2bbfe20c612247639346f9b,DESCRIPTIO,description
article-4-direction,18202c0b321a31029358d3fe65d17fd00bdd1e07b2bbfe20c612247639346f9b,INT_ID,notes
article-4-direction,7fb3fd9a1f73608c71659df88e4c26f64e5ce883e5e1456b88dd14194cd1d677,ARTICLE_4,notes
article-4-direction,2665060da294b88ddd2201c639788f8ea1246eae9d0731516ea49715fdee97dd,OBJECTID,reference
article-4-direction,2665060da294b88ddd2201c639788f8ea1246eae9d0731516ea49715fdee97dd,DATE_CONF,start-date
article-4-direction,2665060da294b88ddd2201c639788f8ea1246eae9d0731516ea49715fdee97dd,DEV_TYPE,name
article-4-direction,2665060da294b88ddd2201c639788f8ea1246eae9d0731516ea49715fdee97dd,DESCRIPTIO,description
article-4-direction,2665060da294b88ddd2201c639788f8ea1246eae9d0731516ea49715fdee97dd,INT_ID,notes
article-4-direction,880c46632d6c3bbc838e88a959cf9e092e40c9a0f9474a9e9867fa5b11abb62d,REF,reference
article-4-direction,3c260999e00be5fc2617ed1aae7c8d4584ff76a6ab67baa8e0fc9e0272070056,Name,reference
article-4-direction,3c260999e00be5fc2617ed1aae7c8d4584ff76a6ab67baa8e0fc9e0272070056,Article_4_Direction,description
article-4-direction,3c260999e00be5fc2617ed1aae7c8d4584ff76a6ab67baa8e0fc9e0272070056,More_information,notes
article-4-direction,5158d13bfc6f0723b1fb07c975701a906e83a1ead4aee598ee34e241c79a5f3d,Name,reference
article-4-direction,5158d13bfc6f0723b1fb07c975701a906e83a1ead4aee598ee34e241c79a5f3d,Article_4_Direction,description
article-4-direction,5158d13bfc6f0723b1fb07c975701a906e83a1ead4aee598ee34e241c79a5f3d,More_information,notes
article-4-direction,92c2680ad1a88950d0b03744affb36307cac5d0a5c3dba7224b0eb1e1ad28083,Name,reference
article-4-direction,92c2680ad1a88950d0b03744affb36307cac5d0a5c3dba7224b0eb1e1ad28083,Article_4_Direction,description
article-4-direction,92c2680ad1a88950d0b03744affb36307cac5d0a5c3dba7224b0eb1e1ad28083,More_information,notes
article-4-direction,9510b41e61d9af455792dc1b4eb80d7600671804b9e8788de32c61b1ce2435d1,Name,reference
article-4-direction,9510b41e61d9af455792dc1b4eb80d7600671804b9e8788de32c61b1ce2435d1,Article_4_Direction,description
article-4-direction,9510b41e61d9af455792dc1b4eb80d7600671804b9e8788de32c61b1ce2435d1,More_information,notes
article-4-direction,c70e657dab5368c1ba6514000182e571c46de6f483f14e38a272b636901c250d,Name,reference
article-4-direction,c70e657dab5368c1ba6514000182e571c46de6f483f14e38a272b636901c250d,Article_4_Direction,description
article-4-direction,c70e657dab5368c1ba6514000182e571c46de6f483f14e38a272b636901c250d,More_information,notes
article-4-direction,d24b30e21b985a96716574cd47f5c39a859d6cb9916ad5244ca793f88b14ec3b,Name,reference
article-4-direction,d24b30e21b985a96716574cd47f5c39a859d6cb9916ad5244ca793f88b14ec3b,Article_4_Direction,description
article-4-direction,d24b30e21b985a96716574cd47f5c39a859d6cb9916ad5244ca793f88b14ec3b,More_information,notes
article-4-direction,e6d6d0a60345c50b0f40292b9ed6fcbd567fc36816fc3ae7883af2a6a7dd875d,Name,reference
article-4-direction,e6d6d0a60345c50b0f40292b9ed6fcbd567fc36816fc3ae7883af2a6a7dd875d,Article_4_Direction,description
article-4-direction,e6d6d0a60345c50b0f40292b9ed6fcbd567fc36816fc3ae7883af2a6a7dd875d,More_information,notes
article-4-direction,e8791be20829a2aa6cca0ba62250b6b43eadaec78ac7727271197931fb5f0a9d,Name,reference
article-4-direction,e8791be20829a2aa6cca0ba62250b6b43eadaec78ac7727271197931fb5f0a9d,Article_4_Direction,description
article-4-direction,e8791be20829a2aa6cca0ba62250b6b43eadaec78ac7727271197931fb5f0a9d,More_information,notes
article-4-direction,ef883258feab307b5730dc62cb4144172effdbd1ba02c0d68a4804aa397696d2,Name,reference
article-4-direction,ef883258feab307b5730dc62cb4144172effdbd1ba02c0d68a4804aa397696d2,Article_4_Direction,description
article-4-direction,ef883258feab307b5730dc62cb4144172effdbd1ba02c0d68a4804aa397696d2,More_information,notes
